fecha,mes,anio,tipo_pago,afluencia
2022-02-27,Febrero,2022,Prepago,35605
2022-02-27,Febrero,2022,Gratuidad,3262
2022-02-28,Febrero,2022,Prepago,66577
2022-02-28,Febrero,2022,Gratuidad,6671
2022-03-01,Marzo,2022,Prepago,70193
2022-03-01,Marzo,2022,Gratuidad,6136
2022-03-02,Marzo,2022,Prepago,66274
2022-03-02,Marzo,2022,Gratuidad,6255
2022-03-03,Marzo,2022,Prepago,66138
2022-03-03,Marzo,2022,Gratuidad,6020
2022-03-04,Marzo,2022,Prepago,68431
2022-03-04,Marzo,2022,Gratuidad,6167
2022-03-05,Marzo,2022,Prepago,50546
2022-03-05,Marzo,2022,Gratuidad,4792
2022-03-06,Marzo,2022,Prepago,26060
2022-03-06,Marzo,2022,Gratuidad,2823
2022-03-07,Marzo,2022,Prepago,67401
2022-03-07,Marzo,2022,Gratuidad,5580
2022-03-08,Marzo,2022,Prepago,66497
2022-03-08,Marzo,2022,Gratuidad,6368
2022-03-09,Marzo,2022,Prepago,68495
2022-03-09,Marzo,2022,Gratuidad,5743
2022-03-10,Marzo,2022,Prepago,68930
2022-03-10,Marzo,2022,Gratuidad,6712
2022-03-11,Marzo,2022,Prepago,71412
2022-03-11,Marzo,2022,Gratuidad,6359
2022-03-12,Marzo,2022,Prepago,48748
2022-03-12,Marzo,2022,Gratuidad,4483
2022-03-13,Marzo,2022,Prepago,28983
2022-03-13,Marzo,2022,Gratuidad,3351
2022-03-14,Marzo,2022,Prepago,69001
2022-03-14,Marzo,2022,Gratuidad,6561
2022-03-15,Marzo,2022,Prepago,70167
2022-03-15,Marzo,2022,Gratuidad,5934
2022-03-16,Marzo,2022,Prepago,72807
2022-03-16,Marzo,2022,Gratuidad,6519
2022-03-17,Marzo,2022,Prepago,71349
2022-03-17,Marzo,2022,Gratuidad,6136
2022-03-18,Marzo,2022,Prepago,72384
2022-03-18,Marzo,2022,Gratuidad,6713
2022-03-19,Marzo,2022,Prepago,46710
2022-03-19,Marzo,2022,Gratuidad,4306
2022-03-20,Marzo,2022,Prepago,39895
2022-03-20,Marzo,2022,Gratuidad,3565
2022-03-21,Marzo,2022,Prepago,31458
2022-03-21,Marzo,2022,Gratuidad,3594
2022-03-22,Marzo,2022,Prepago,72227
2022-03-22,Marzo,2022,Gratuidad,6453
2022-03-23,Marzo,2022,Prepago,72296
2022-03-23,Marzo,2022,Gratuidad,6142
2022-03-24,Marzo,2022,Prepago,79821
2022-03-24,Marzo,2022,Gratuidad,6486
2022-03-25,Marzo,2022,Prepago,72357
2022-03-25,Marzo,2022,Gratuidad,5929
2022-03-26,Marzo,2022,Prepago,46705
2022-03-26,Marzo,2022,Gratuidad,4471
2022-03-27,Marzo,2022,Prepago,27344
2022-03-27,Marzo,2022,Gratuidad,3209
2022-03-28,Marzo,2022,Prepago,68959
2022-03-28,Marzo,2022,Gratuidad,6271
2022-03-29,Marzo,2022,Prepago,71956
2022-03-29,Marzo,2022,Gratuidad,5790
2022-03-30,Marzo,2022,Prepago,78119
2022-03-30,Marzo,2022,Gratuidad,6809
2022-03-31,Marzo,2022,Prepago,71901
2022-03-31,Marzo,2022,Gratuidad,5973
2022-04-01,Abril,2022,Prepago,73735
2022-04-01,Abril,2022,Gratuidad,6289
2022-04-02,Abril,2022,Prepago,55020
2022-04-02,Abril,2022,Gratuidad,4400
2022-04-03,Abril,2022,Prepago,27975
2022-04-03,Abril,2022,Gratuidad,3541
2022-04-04,Abril,2022,Prepago,69959
2022-04-04,Abril,2022,Gratuidad,6343
2022-04-05,Abril,2022,Prepago,73593
2022-04-05,Abril,2022,Gratuidad,6969
2022-04-06,Abril,2022,Prepago,74293
2022-04-06,Abril,2022,Gratuidad,6485
2022-04-07,Abril,2022,Prepago,73326
2022-04-07,Abril,2022,Gratuidad,6680
2022-04-08,Abril,2022,Prepago,73853
2022-04-08,Abril,2022,Gratuidad,5808
2022-04-09,Abril,2022,Prepago,51595
2022-04-09,Abril,2022,Gratuidad,4535
2022-04-10,Abril,2022,Prepago,28252
2022-04-10,Abril,2022,Gratuidad,3234
2022-04-11,Abril,2022,Prepago,58790
2022-04-11,Abril,2022,Gratuidad,6188
2022-04-12,Abril,2022,Prepago,68703
2022-04-12,Abril,2022,Gratuidad,5284
2022-04-13,Abril,2022,Prepago,57859
2022-04-13,Abril,2022,Gratuidad,5982
2022-04-14,Abril,2022,Prepago,37246
2022-04-14,Abril,2022,Gratuidad,3279
2022-04-15,Abril,2022,Prepago,28436
2022-04-15,Abril,2022,Gratuidad,2862
2022-04-16,Abril,2022,Prepago,34637
2022-04-16,Abril,2022,Gratuidad,3390
2022-04-17,Abril,2022,Prepago,25506
2022-04-17,Abril,2022,Gratuidad,2880
2022-04-18,Abril,2022,Prepago,59412
2022-04-18,Abril,2022,Gratuidad,5541
2022-04-19,Abril,2022,Prepago,61086
2022-04-19,Abril,2022,Gratuidad,5515
2022-04-20,Abril,2022,Prepago,68453
2022-04-20,Abril,2022,Gratuidad,4448
2022-04-21,Abril,2022,Prepago,60604
2022-04-21,Abril,2022,Gratuidad,6228
2022-04-22,Abril,2022,Prepago,63237
2022-04-22,Abril,2022,Gratuidad,5376
2022-04-23,Abril,2022,Prepago,45873
2022-04-23,Abril,2022,Gratuidad,4416
2022-04-24,Abril,2022,Prepago,30026
2022-04-24,Abril,2022,Gratuidad,2334
2022-04-25,Abril,2022,Prepago,70656
2022-04-25,Abril,2022,Gratuidad,6729
2022-04-26,Abril,2022,Prepago,70925
2022-04-26,Abril,2022,Gratuidad,6025
2022-04-27,Abril,2022,Prepago,71611
2022-04-27,Abril,2022,Gratuidad,6667
2022-04-28,Abril,2022,Prepago,71937
2022-04-28,Abril,2022,Gratuidad,5801
2022-04-29,Abril,2022,Prepago,73258
2022-04-29,Abril,2022,Gratuidad,5911
2022-04-30,Abril,2022,Prepago,55775
2022-04-30,Abril,2022,Gratuidad,4001
2022-05-01,Mayo,2022,Prepago,25754
2022-05-01,Mayo,2022,Gratuidad,2083
2022-05-02,Mayo,2022,Prepago,70976
2022-05-02,Mayo,2022,Gratuidad,5634
2022-05-03,Mayo,2022,Prepago,74303
2022-05-03,Mayo,2022,Gratuidad,7468
2022-05-04,Mayo,2022,Prepago,74675
2022-05-04,Mayo,2022,Gratuidad,5562
2022-05-05,Mayo,2022,Prepago,57284
2022-05-05,Mayo,2022,Gratuidad,5703
2022-05-06,Mayo,2022,Prepago,74754
2022-05-06,Mayo,2022,Gratuidad,6935
2022-05-07,Mayo,2022,Prepago,55008
2022-05-07,Mayo,2022,Gratuidad,4358
2022-05-08,Mayo,2022,Prepago,33006
2022-05-08,Mayo,2022,Gratuidad,3042
2022-05-09,Mayo,2022,Prepago,70508
2022-05-09,Mayo,2022,Gratuidad,6414
2022-05-10,Mayo,2022,Prepago,51971
2022-05-10,Mayo,2022,Gratuidad,4705
2022-05-11,Mayo,2022,Prepago,68649
2022-05-11,Mayo,2022,Gratuidad,6215
2022-05-12,Mayo,2022,Prepago,78604
2022-05-12,Mayo,2022,Gratuidad,5842
2022-05-13,Mayo,2022,Prepago,68603
2022-05-13,Mayo,2022,Gratuidad,5990
2022-05-14,Mayo,2022,Prepago,68186
2022-05-14,Mayo,2022,Gratuidad,4354
2022-05-15,Mayo,2022,Prepago,35509
2022-05-15,Mayo,2022,Gratuidad,2941
2022-05-16,Mayo,2022,Prepago,72060
2022-05-16,Mayo,2022,Gratuidad,5832
2022-05-17,Mayo,2022,Prepago,73469
2022-05-17,Mayo,2022,Gratuidad,6091
2022-05-18,Mayo,2022,Prepago,74824
2022-05-18,Mayo,2022,Gratuidad,6315
2022-05-19,Mayo,2022,Prepago,86248
2022-05-19,Mayo,2022,Gratuidad,6076
2022-05-20,Mayo,2022,Prepago,74665
2022-05-20,Mayo,2022,Gratuidad,6055
2022-05-21,Mayo,2022,Prepago,57096
2022-05-21,Mayo,2022,Gratuidad,4537
2022-05-22,Mayo,2022,Prepago,32227
2022-05-22,Mayo,2022,Gratuidad,3066
2022-05-23,Mayo,2022,Prepago,72002
2022-05-23,Mayo,2022,Gratuidad,6022
2022-05-24,Mayo,2022,Prepago,73659
2022-05-24,Mayo,2022,Gratuidad,5726
2022-05-25,Mayo,2022,Prepago,72728
2022-05-25,Mayo,2022,Gratuidad,5938
2022-05-26,Mayo,2022,Prepago,69623
2022-05-26,Mayo,2022,Gratuidad,6208
2022-05-27,Mayo,2022,Prepago,72435
2022-05-27,Mayo,2022,Gratuidad,6028
2022-05-28,Mayo,2022,Prepago,46968
2022-05-28,Mayo,2022,Gratuidad,4090
2022-05-29,Mayo,2022,Prepago,27103
2022-05-29,Mayo,2022,Gratuidad,2821
2022-05-30,Mayo,2022,Prepago,71911
2022-05-30,Mayo,2022,Gratuidad,5557
2022-05-31,Mayo,2022,Prepago,70785
2022-05-31,Mayo,2022,Gratuidad,6260
2022-06-01,Junio,2022,Prepago,73339
2022-06-01,Junio,2022,Gratuidad,6314
2022-06-02,Junio,2022,Prepago,60304
2022-06-02,Junio,2022,Gratuidad,4699
2022-06-03,Junio,2022,Prepago,76004
2022-06-03,Junio,2022,Gratuidad,6290
2022-06-04,Junio,2022,Prepago,47361
2022-06-04,Junio,2022,Gratuidad,4490
2022-06-05,Junio,2022,Prepago,27466
2022-06-05,Junio,2022,Gratuidad,2978
2022-06-06,Junio,2022,Prepago,74102
2022-06-06,Junio,2022,Gratuidad,6549
2022-06-07,Junio,2022,Prepago,73361
