fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-08,Enero,2022,Expdirecto,Boleto,517
2022-01-08,Enero,2022,Expdirecto,Prepago,32
2022-01-08,Enero,2022,Expdirecto,Gratuidad,94
2022-01-08,Enero,2022,Expreso,Boleto,36670
2022-01-08,Enero,2022,Expreso,Prepago,2638
2022-01-08,Enero,2022,Expreso,Gratuidad,6356
2022-01-08,Enero,2022,Nochebús,Boleto,941
2022-01-08,Enero,2022,Nochebús,Prepago,62
2022-01-08,Enero,2022,Nochebús,Gratuidad,73
2022-01-08,Enero,2022,Ordinario,Boleto,57132
2022-01-08,Enero,2022,Ordinario,Prepago,1511
2022-01-08,Enero,2022,Ordinario,Gratuidad,9892
2022-01-08,Enero,2022,S/Metro,Boleto,33708
2022-01-08,Enero,2022,S/Metro,Prepago,750
2022-01-08,Enero,2022,S/Metro,Gratuidad,5836
2022-01-09,Enero,2022,Servicios Temporales,Boleto,1359
2022-01-09,Enero,2022,Servicios Temporales,Prepago,0
2022-01-09,Enero,2022,Servicios Temporales,Gratuidad,235
2022-01-09,Enero,2022,Atenea,Boleto,4101
2022-01-09,Enero,2022,Atenea,Prepago,0
2022-01-09,Enero,2022,Atenea,Gratuidad,709
2022-01-09,Enero,2022,Ecoatenea,Boleto,0
2022-01-09,Enero,2022,Ecoatenea,Prepago,0
2022-01-09,Enero,2022,Ecoatenea,Gratuidad,0
2022-01-09,Enero,2022,Ecobús,Boleto,11009
2022-01-09,Enero,2022,Ecobús,Prepago,532
2022-01-09,Enero,2022,Ecobús,Gratuidad,1917
2022-01-09,Enero,2022,Expdirecto,Boleto,0
2022-01-09,Enero,2022,Expdirecto,Prepago,0
2022-01-09,Enero,2022,Expdirecto,Gratuidad,0
2022-01-09,Enero,2022,Expreso,Boleto,25857
2022-01-09,Enero,2022,Expreso,Prepago,1821
2022-01-09,Enero,2022,Expreso,Gratuidad,4489
2022-01-09,Enero,2022,Nochebús,Boleto,807
2022-01-09,Enero,2022,Nochebús,Prepago,42
2022-01-09,Enero,2022,Nochebús,Gratuidad,61
2022-01-09,Enero,2022,Ordinario,Boleto,44983
2022-01-09,Enero,2022,Ordinario,Prepago,1061
2022-01-09,Enero,2022,Ordinario,Gratuidad,7792
2022-01-09,Enero,2022,S/Metro,Boleto,21032
2022-01-09,Enero,2022,S/Metro,Prepago,619
2022-01-09,Enero,2022,S/Metro,Gratuidad,3644
2022-01-10,Enero,2022,Servicios Temporales,Boleto,2030
2022-01-10,Enero,2022,Servicios Temporales,Prepago,0
2022-01-10,Enero,2022,Servicios Temporales,Gratuidad,351
2022-01-10,Enero,2022,Atenea,Boleto,16326
2022-01-10,Enero,2022,Atenea,Prepago,0
2022-01-10,Enero,2022,Atenea,Gratuidad,2822
2022-01-10,Enero,2022,Ecoatenea,Boleto,2483
2022-01-10,Enero,2022,Ecoatenea,Prepago,0
2022-01-10,Enero,2022,Ecoatenea,Gratuidad,429
2022-01-10,Enero,2022,Ecobús,Boleto,23541
2022-01-10,Enero,2022,Ecobús,Prepago,1594
2022-01-10,Enero,2022,Ecobús,Gratuidad,4101
2022-01-10,Enero,2022,Expdirecto,Boleto,1763
2022-01-10,Enero,2022,Expdirecto,Prepago,260
2022-01-10,Enero,2022,Expdirecto,Gratuidad,309
2022-01-10,Enero,2022,Expreso,Boleto,73627
2022-01-10,Enero,2022,Expreso,Prepago,5562
2022-01-10,Enero,2022,Expreso,Gratuidad,12784
2022-01-10,Enero,2022,Nochebús,Boleto,600
2022-01-10,Enero,2022,Nochebús,Prepago,34
2022-01-10,Enero,2022,Nochebús,Gratuidad,45
2022-01-10,Enero,2022,Ordinario,Boleto,71949
2022-01-10,Enero,2022,Ordinario,Prepago,1613
2022-01-10,Enero,2022,Ordinario,Gratuidad,12462
2022-01-10,Enero,2022,S/Metro,Boleto,43453
2022-01-10,Enero,2022,S/Metro,Prepago,1418
2022-01-10,Enero,2022,S/Metro,Gratuidad,7531
2022-01-11,Enero,2022,Servicios Temporales,Boleto,2368
2022-01-11,Enero,2022,Servicios Temporales,Prepago,0
2022-01-11,Enero,2022,Servicios Temporales,Gratuidad,409
2022-01-11,Enero,2022,Atenea,Boleto,16372
2022-01-11,Enero,2022,Atenea,Prepago,0
2022-01-11,Enero,2022,Atenea,Gratuidad,2830
2022-01-11,Enero,2022,Ecoatenea,Boleto,1618
2022-01-11,Enero,2022,Ecoatenea,Prepago,0
2022-01-11,Enero,2022,Ecoatenea,Gratuidad,280
2022-01-11,Enero,2022,Ecobús,Boleto,24182
2022-01-11,Enero,2022,Ecobús,Prepago,1705
2022-01-11,Enero,2022,Ecobús,Gratuidad,4222
2022-01-11,Enero,2022,Expdirecto,Boleto,1761
2022-01-11,Enero,2022,Expdirecto,Prepago,301
2022-01-11,Enero,2022,Expdirecto,Gratuidad,306
2022-01-11,Enero,2022,Expreso,Boleto,80540
2022-01-11,Enero,2022,Expreso,Prepago,6462
2022-01-11,Enero,2022,Expreso,Gratuidad,13993
2022-01-11,Enero,2022,Nochebús,Boleto,632
2022-01-11,Enero,2022,Nochebús,Prepago,42
2022-01-11,Enero,2022,Nochebús,Gratuidad,48
2022-01-11,Enero,2022,Ordinario,Boleto,71567
2022-01-11,Enero,2022,Ordinario,Prepago,1493
2022-01-11,Enero,2022,Ordinario,Gratuidad,12394
2022-01-11,Enero,2022,S/Metro,Boleto,43851
2022-01-11,Enero,2022,S/Metro,Prepago,1393
2022-01-11,Enero,2022,S/Metro,Gratuidad,7598
2022-01-12,Enero,2022,Servicios Temporales,Boleto,1945
2022-01-12,Enero,2022,Servicios Temporales,Prepago,0
2022-01-12,Enero,2022,Servicios Temporales,Gratuidad,336
2022-01-12,Enero,2022,Atenea,Boleto,17298
2022-01-12,Enero,2022,Atenea,Prepago,0
2022-01-12,Enero,2022,Atenea,Gratuidad,2991
2022-01-12,Enero,2022,Ecoatenea,Boleto,2928
2022-01-12,Enero,2022,Ecoatenea,Prepago,0
2022-01-12,Enero,2022,Ecoatenea,Gratuidad,506
2022-01-12,Enero,2022,Ecobús,Boleto,23548
2022-01-12,Enero,2022,Ecobús,Prepago,1668
2022-01-12,Enero,2022,Ecobús,Gratuidad,4100
2022-01-12,Enero,2022,Expdirecto,Boleto,1679
2022-01-12,Enero,2022,Expdirecto,Prepago,304
2022-01-12,Enero,2022,Expdirecto,Gratuidad,293
2022-01-12,Enero,2022,Expreso,Boleto,76737
2022-01-12,Enero,2022,Expreso,Prepago,6416
2022-01-12,Enero,2022,Expreso,Gratuidad,13342
2022-01-12,Enero,2022,Nochebús,Boleto,624
2022-01-12,Enero,2022,Nochebús,Prepago,45
2022-01-12,Enero,2022,Nochebús,Gratuidad,48
2022-01-12,Enero,2022,Ordinario,Boleto,72062
2022-01-12,Enero,2022,Ordinario,Prepago,1551
2022-01-12,Enero,2022,Ordinario,Gratuidad,12480
2022-01-12,Enero,2022,S/Metro,Boleto,44838
2022-01-12,Enero,2022,S/Metro,Prepago,1426
2022-01-12,Enero,2022,S/Metro,Gratuidad,7766
2022-01-13,Enero,2022,Servicios Temporales,Boleto,2083
2022-01-13,Enero,2022,Servicios Temporales,Prepago,0
2022-01-13,Enero,2022,Servicios Temporales,Gratuidad,360
2022-01-13,Enero,2022,Atenea,Boleto,15331
2022-01-13,Enero,2022,Atenea,Prepago,0
2022-01-13,Enero,2022,Atenea,Gratuidad,2650
2022-01-13,Enero,2022,Ecoatenea,Boleto,1792
2022-01-13,Enero,2022,Ecoatenea,Prepago,0
2022-01-13,Enero,2022,Ecoatenea,Gratuidad,310
2022-01-13,Enero,2022,Ecobús,Boleto,23872
2022-01-13,Enero,2022,Ecobús,Prepago,1607
2022-01-13,Enero,2022,Ecobús,Gratuidad,4166
2022-01-13,Enero,2022,Expdirecto,Boleto,1657
2022-01-13,Enero,2022,Expdirecto,Prepago,249
2022-01-13,Enero,2022,Expdirecto,Gratuidad,292
2022-01-13,Enero,2022,Expreso,Boleto,79679
2022-01-13,Enero,2022,Expreso,Prepago,6308
2022-01-13,Enero,2022,Expreso,Gratuidad,13837
2022-01-13,Enero,2022,Nochebús,Boleto,684
2022-01-13,Enero,2022,Nochebús,Prepago,40
2022-01-13,Enero,2022,Nochebús,Gratuidad,54
